family	name	degree	mode_mhz	freq_mhz	grid_offset	stencil_member	response_class	epsilon	attenuation	threshold	n	nnz_a	max_abs_a	factor_info	solve_info	finite	min_abs_diag_u	max_abs_diag_u	max_abs_u	max_abs_l	growth_u_over_a	nonidentity_pivots	pivot_fraction	max_pivot_displacement	residual	solution_vs_threshold1	solution_abs_vs_threshold1	transfer_norm	transfer_abs_error_vs_threshold1	transfer_relative_error_vs_threshold1	local_response_scale	local_response_normalized_error	transfer_max_row	transfer_max_col	transfer_re	transfer_im	threshold1_transfer_re	threshold1_transfer_im	lapack_transfer_re	lapack_transfer_im	transfer_component_abs_error_vs_threshold1	lapack_factor_info	lapack_solve_info	lapack_finite	lapack_residual	lapack_solution_vs_threshold1	lapack_solution_abs_vs_threshold1	lapack_transfer_abs_error_vs_threshold1	lapack_transfer_relative_error_vs_threshold1	solution_vs_lapack	transfer_abs_error_vs_lapack	transfer_relative_error_vs_lapack
radial	radial_0S0	0	0.81466349999999998	0.79345703125	-1	1	flank	0.32294014437366447	0	0.01	282	3924	1649420561104593	0	0	1	252.75726980508395	1037602634851940.5	1645689539001170	90.890878244925304	0.9977379801177424	144	0.51063829787234039	279	4.2592946193603439e-21	9.4093378700703376e-09	6.5604327163549553e-16	8.9590409152622962e-13	6.1214297037057506e-22	6.8326841737062543e-10	1.1533443763381796e-12	5.3075471899737654e-10	0	0	-6.31936220720814e-14	-8.9367259516158922e-13	-6.3193621729858973e-14	-8.9367259465404333e-13	-6.3193622360460674e-14	-8.9367259529672773e-13	6.1214297037057506e-22	0	0	1	4.2190102893994215e-21	3.1771499268651664e-08	2.2151907618569954e-15	9.0038977176369903e-22	1.0050068760852563e-09	2.7737234271922769e-08	3.1847295525757793e-22	3.5547661654261369e-10
radial	radial_0S0	0	0.81466349999999998	0.823974609375	0	1	resonance	0.32294014437366447	0	1	282	3924	1649420497429567.2	0	0	1	378.0733715425016	1037602634851940.5	1645689475470178.8	0.99999999485901114	0.99773798011774262	278	0.98581560283687941	279	2.9744293218753693e-21	0	0	1.1533443763381796e-12	0	0	1.1533443763381796e-12	0	0	0	-5.7413649381679333e-13	-1.000285227771891e-12	-5.7413649381679333e-13	-1.000285227771891e-12	-5.7413649261447056e-13	-1.000285228215387e-12	0	0	0	1	5.3072740450029646e-21	6.8222100141571518e-08	5.0445046178311348e-15	1.2815103521329741e-21	1.1111255045970884e-09	6.822210477682504e-08	1.2815103521329741e-21	1.1111255048031372e-09
radial	radial_0S0	0	0.81466349999999998	0.823974609375	0	1	resonance	0.32294014437366447	0	0.10000000000000001	282	3924	1649420497429567.2	0	0	1	378.07337154250172	1037602634851940.5	1645689475470178.8	8.1804536763004556	0.99773798011774262	180	0.63829787234042556	279	4.5518006500983463e-21	5.333753750953374e-08	3.9439045956110958e-15	1.1533443761691965e-12	5.3652377856941651e-22	4.6518957353644638e-10	1.1533443763381796e-12	4.6518957353644638e-10	0	0	-5.7413649329103352e-13	-1.0002852278788226e-12	-5.7413649381679333e-13	-1.000285227771891e-12	-5.7413649261447056e-13	-1.000285228215387e-12	5.3652377856941651e-22	0	0	1	5.3072740450029646e-21	6.8222100141571518e-08	5.0445046178311348e-15	1.2815103521329741e-21	1.1111255045970884e-09	1.2019798585357509e-07	7.5565402558426605e-22	6.5518507847895846e-10
radial	radial_0S0	0	0.81466349999999998	0.823974609375	0	1	resonance	0.32294014437366447	0	0.01	282	3924	1649420497429567.2	0	0	1	252.74642013892486	1037602634851940.5	1645689475470178.8	90.90170786496418	0.99773798011774262	144	0.51063829787234039	279	3.4475546825393251e-21	1.7171604314166945e-08	1.2697093328793675e-15	1.1533443756816234e-12	2.4372442650190924e-21	2.1131973372577939e-09	1.1533443763381796e-12	2.1131973372577939e-09	0	0	-5.7413649145430017e-13	-1.0002852283708782e-12	-5.7413649381679333e-13	-1.000285227771891e-12	-5.7413649261447056e-13	-1.000285228215387e-12	2.4372442650190924e-21	0	0	1	5.3072740450029646e-21	6.8222100141571518e-08	5.0445046178311348e-15	1.2815103521329741e-21	1.1111255045970884e-09	5.2841441343336475e-08	1.1705438193686867e-21	1.0149126692776549e-09
radial	radial_0S0	0	0.81466349999999998	0.8544921875	1	1	flank	0.32294014437366447	0	1	282	3924	1649420431351710.5	0	0	1	378.06044661289923	1037602634851940.5	1645689409541791.2	0.99999999786074045	0.99773798011774251	279	0.98936170212765961	280	9.3411002491283959e-21	0	0	1.1233843424310721e-12	0	0	1.1533443763381796e-12	0	0	0	-8.952455681860665e-13	-6.786219517982743e-13	-8.952455681860665e-13	-6.786219517982743e-13	-8.9524556804985473e-13	-6.786219518392883e-13	0	0	0	1	9.830844830527622e-21	2.980931099758533e-08	1.8231801371713579e-15	1.4225257034896317e-22	1.2662858558373703e-10	2.980931013644575e-08	1.4225257034896317e-22	1.2662858559318004e-10
radial	radial_0S0	0	0.81466349999999998	0.8544921875	1	1	flank	0.32294014437366447	0	0.10000000000000001	282	3924	1649420431351710.5	0	0	1	378.06044661289889	1037602634851940.5	1645689409541791.2	8.1816317717944855	0.99773798011774251	181	0.64184397163120566	280	5.2744622582143644e-21	4.6397030464155266e-08	2.8377088075881528e-15	1.1233843427181682e-12	1.7571206931276245e-21	1.5641313722827116e-09	1.1533443763381796e-12	1.5235004645415704e-09	0	0	-8.9524556736766903e-13	-6.7862195335316938e-13	-8.952455681860665e-13	-6.786219517982743e-13	-8.9524556804985473e-13	-6.786219518392883e-13	1.7571206931276245e-21	0	0	1	9.830844830527622e-21	2.980931099758533e-08	1.8231801371713579e-15	1.4225257034896317e-22	1.2662858558373703e-10	7.6201345619297316e-08	1.6604858485622446e-21	1.478110194319318e-09
radial	radial_0S0	0	0.81466349999999998	0.8544921875	1	1	flank	0.32294014437366447	0	0.01	282	3924	1649420431351710.5	0	0	1	252.7351619134912	1037602634851940.5	1645689409541791.2	90.912948734131433	0.99773798011774251	145	0.51418439716312059	280	5.9888618159419237e-21	9.3060390761754464e-09	5.6917067290813693e-16	1.1233843425400869e-12	7.4418076926150267e-22	6.6244538147207049e-10	1.1533443763381796e-12	6.4523726349994927e-10	0	0	-8.9524556782824202e-13	-6.7862195245078228e-13	-8.952455681860665e-13	-6.786219517982743e-13	-8.9524556804985473e-13	-6.786219518392883e-13	7.4418076926150267e-22	0	0	1	9.830844830527622e-21	2.980931099758533e-08	1.8231801371713579e-15	1.4225257034896317e-22	1.2662858558373703e-10	3.3120856314814667e-08	6.5041300368865323e-22	5.7897638338952001e-10
radial	radial_0S0	0	0.81466349999999998	0.885009765625	2	1	antiresonance	0.32294014437366447	0	1	282	3924	1649420362871022.2	0	0	1	378.047052192943	1037602634851940.5	1645689341216007.8	0.99999999903834991	0.99773798011774262	279	0.98936170212765961	280	9.2662466606987358e-21	0	0	9.8948046187125368e-13	0	0	1.1533443763381796e-12	0	0	0	-9.0769537617045675e-13	-3.9390441544075435e-13	-9.0769537617045675e-13	-3.9390441544075435e-13	-9.0769537636402226e-13	-3.9390441584460786e-13	0	0	0	1	9.8980048390050474e-21	3.6135877645201729e-08	1.6939245576064715e-15	4.4784514133610558e-22	4.5260635110385534e-10	3.6135878888719231e-08	4.4784514133610558e-22	4.5260635094909372e-10
radial	radial_0S0	0	0.81466349999999998	0.885009765625	2	1	antiresonance	0.32294014437366447	0	0.10000000000000001	282	3924	1649420362871022.2	0	0	1	378.04705219294283	1037602634851940.5	1645689341216007.8	8.1828417021074014	0.99773798011774262	180	0.63829787234042556	279	9.2442405093104249e-21	2.7169948873577194e-08	1.2736329273014331e-15	9.8948046164323234e-13	5.2255236796426756e-22	5.2810781829490991e-10	1.1533443763381796e-12	4.5307574969355604e-10	0	0	-9.0769537614845669e-13	-3.939044149186653e-13	-9.0769537617045675e-13	-3.9390441544075435e-13	-9.0769537636402226e-13	-3.9390441584460786e-13	5.2255236796426756e-22	0	0	1	9.8980048390050474e-21	3.6135877645201729e-08	1.6939245576064715e-15	4.4784514133610558e-22	4.5260635110385534e-10	1.8102709262780673e-08	9.5070402762559975e-22	9.6081131860107649e-10
radial	radial_0S0	0	0.81466349999999998	0.885009765625	2	1	antiresonance	0.32294014437366447	0	0.01	282	3924	1649420362871022.2	0	0	1	252.72349522446214	1037602634851940.5	1645689341216007.8	90.924601133258619	0.99773798011774262	144	0.51063829787234039	279	9.6711966462404565e-21	3.3366850506070749e-09	1.5641221734577753e-16	9.8948046170503905e-13	3.2075512834644689e-22	3.2416519649094593e-10	1.1533443763381796e-12	2.7810872010737251e-10	0	0	-9.076953761271889e-13	-3.939044151229309e-13	-9.0769537617045675e-13	-3.9390441544075435e-13	-9.0769537636402226e-13	-3.9390441584460786e-13	3.2075512834644689e-22	0	0	1	9.8980048390050474e-21	3.6135877645201729e-08	1.6939245576064715e-15	4.4784514133610558e-22	4.5260635110385534e-10	3.410423285201896e-08	7.5954439307670233e-22	7.6761939430373134e-10
