config	kind	threshold	panel	relax	maxsuper	system	family	freq	n	nnz_a	factor_s	solve_s	nnz_l	nnz_u	nonidentity_pivots	pivot_fraction	max_pivot_displacement	factor_info	solve_info	discrepancy	residual	finite	repeats
pivot_0p5	pivot	0.5	16	1	128	spheroidal_fluid_solid	spheroidal	1.05	860	14554	0.00094161199999999998	0.00013935750000000001	9409	12935	666	0.77441860465116275	122	0	0	1.7216396194741917e-14	5.7597591353529131e-24	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_fluid_solid	spheroidal	0.10000000000000001	860	14554	0.00094678475000000003	0.0001423695	9409	12986	679	0.78953488372093028	85	0	0	7.7064455098194784e-13	1.4268255613944227e-22	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_fluid_solid	spheroidal	0.5	860	14554	0.00094091575	0.0001393225	9409	12939	676	0.78604651162790695	84	0	0	4.2456579228575004e-14	9.4375666013128386e-24	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_max	spheroidal	0.17999999999999999	1610	27304	0.0017750077499999999	0.00025710525000000002	17632	23503	1253	0.77826086956521734	144	0	0	4.1162432721591648e-13	5.895347010158698e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_max	spheroidal	0.40999999999999998	1610	27304	0.0018130745	0.00025883049999999999	17632	23536	1258	0.7813664596273292	144	0	0	1.1110470885813045e-13	1.3631465499198681e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_max	spheroidal	0.67000000000000004	1610	27304	0.0017808315	0.00025931100000000002	17632	23557	1245	0.77329192546583847	144	0	0	1.207633111452764e-13	9.3150974943530248e-24	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_max	spheroidal	1.05	1610	27304	0.0017665125	0.00026170475000000001	17632	23608	1263	0.78447204968944095	144	0	0	1.8025434934959183e-13	5.9443858520300437e-24	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_max	spheroidal	0.10000000000000001	1610	27304	0.0017643595	0.00025796400000000001	17632	23503	1244	0.7726708074534161	144	0	0	1.3604432767004978e-12	3.4666081409096967e-22	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	radial_small	radial	0.17999999999999999	104	1024	6.2197499999999995e-05	1.1272e-05	564	906	73	0.70192307692307687	101	0	0	1.7037398182902801e-11	9.0047252028656901e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	radial_small	radial	0.40999999999999998	104	1024	6.0239750000000002e-05	1.1189000000000001e-05	564	906	73	0.70192307692307687	101	0	0	5.3565218146307709e-12	5.0483683308972914e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	radial_small	radial	0.67000000000000004	104	1024	6.1118500000000001e-05	1.1309500000000001e-05	564	906	74	0.71153846153846156	102	0	0	1.6085964568917596e-11	7.857987523171145e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	radial_small	radial	1.05	104	1024	5.9826500000000001e-05	1.1144e-05	564	906	74	0.71153846153846156	102	0	0	6.9511122679774975e-12	9.8058868092769523e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	radial_small	radial	0.5	104	1024	5.9858999999999997e-05	1.1201499999999999e-05	564	906	74	0.71153846153846156	102	0	0	1.5466780715918547e-11	9.5092166688566172e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	radial_small	radial	0.14999999999999999	104	1024	5.9643750000000003e-05	1.1124000000000001e-05	564	906	73	0.70192307692307687	101	0	0	6.4943722448922441e-12	6.1002161776656775e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	toroidal_small	toroidal	0.17999999999999999	37	181	1.2072999999999999e-05	3.1070000000000001e-06	109	109	0	0	0	0	0	1.0604979252634226e-26	5.6815191396436701e-17	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	toroidal_small	toroidal	0.40999999999999998	37	181	1.160975e-05	3.0394999999999999e-06	109	109	0	0	0	0	0	4.3434107151831642e-27	4.2372378284551878e-17	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	toroidal_small	toroidal	0.67000000000000004	37	181	1.1501999999999999e-05	3.0520000000000002e-06	109	109	0	0	0	0	0	1.2869734417802371e-26	9.3176748780378699e-17	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	toroidal_small	toroidal	1.05	37	181	1.151475e-05	3.0444999999999998e-06	109	109	0	0	0	0	0	2.1561061244240482e-27	8.458682605463124e-17	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	toroidal_small	toroidal	0.20000000000000001	37	181	1.152475e-05	3.0469999999999998e-06	109	109	0	0	0	0	0	9.1767637563256932e-27	8.2795644946177948e-17	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	toroidal_small	toroidal	0.10000000000000001	37	181	1.1539750000000001e-05	3.0344999999999999e-06	109	109	0	0	0	0	0	8.708683199091422e-27	7.8266153936074652e-17	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_small	spheroidal	0.17999999999999999	158	1906	0.00012722174999999999	2.087375e-05	1245	1721	116	0.73417721518987344	66	0	0	1.8686890415916233e-14	5.4188451213583189e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_small	spheroidal	0.40999999999999998	158	1906	0.0001176675	2.0820999999999999e-05	1245	1721	116	0.73417721518987344	66	0	0	1.3294140046089617e-14	4.5684498380145353e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_small	spheroidal	0.67000000000000004	158	1906	0.00011773025	2.053075e-05	1245	1721	116	0.73417721518987344	66	0	0	8.7880067871429797e-15	4.4172681746633672e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_small	spheroidal	1.05	158	1906	0.000117818	2.0505499999999999e-05	1245	1712	116	0.73417721518987344	66	0	0	1.1740157597511649e-14	2.8902092180181172e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_small	spheroidal	0.10000000000000001	158	1906	0.0001205395	2.064825e-05	1245	1721	116	0.73417721518987344	66	0	0	2.1235839249004018e-14	3.0962243679251069e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_medium	spheroidal	0.17999999999999999	257	3715	0.00023427625000000001	3.483925e-05	2417	3312	180	0.70038910505836571	106	0	0	4.9875167919906142e-14	4.4806179358852424e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_medium	spheroidal	0.40999999999999998	257	3715	0.00023176024999999999	3.4886750000000003e-05	2417	3320	182	0.70817120622568097	106	0	0	2.0009052601695024e-14	4.375196247870445e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_medium	spheroidal	0.67000000000000004	257	3715	0.00022597399999999999	3.697e-05	2417	3320	181	0.7042801556420234	106	0	0	5.114974628932078e-14	2.3622413850454048e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_medium	spheroidal	1.05	257	3715	0.00022309475	3.4573999999999998e-05	2417	3320	180	0.70038910505836571	106	0	0	3.135654542938745e-14	5.9685869179459189e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_medium	spheroidal	0.5	257	3715	0.00022989975	3.4666499999999998e-05	2417	3320	181	0.7042801556420234	106	0	0	3.0496519686487426e-14	3.6907565239704621e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_medium	spheroidal	0.14999999999999999	257	3715	0.00022215074999999999	3.4558999999999999e-05	2417	3312	180	0.70038910505836571	106	0	0	5.8953644424338698e-14	3.59456721094391e-23	1	4
