system	family	freq_index	freq_mhz	n	nnz_a	repeats	policy	ordering	eigen_setup_s	eigen_factor_s	eigen_solve_s	eigen_factor_info	eigen_solve_info	umf_symbolic_s	umf_numeric_s	umf_raw_solve_s	umf_refined_solve_s	umf_symbolic_status	umf_numeric_status	umf_raw_status	umf_refined_status	umf_strategy_used	umf_ordering_used	umf_was_scaled	umf_noff_diag	umf_lnz	umf_unz	umf_flops	umf_numeric_size	umf_peak_memory	umf_rcond	umf_raw_ir_steps	umf_refined_ir_steps	lapack_factor_info	lapack_solve_info	eigen_residual	umf_raw_residual	umf_refined_residual	lapack_residual	umf_raw_vs_eigen	umf_refined_vs_eigen	eigen_vs_lapack	umf_raw_vs_lapack	umf_refined_vs_lapack	transfer_raw_vs_eigen	transfer_refined_vs_eigen	finite
spheroidal_small	spheroidal	0	0.30517578125	168	2022	16	robust	default_amd	1.2378000000000001e-05	0.00013626025	2.8934937499999999e-05	0	0	5.8406999999999998e-05	0.00018951818749999999	2.7060937500000003e-05	0.00026161937500000001	0	0	0	0	3	1	1	79	1229	1698	86653	6786	18177	7.2526981393463965e-08	0	3	0	0	8.6202870157424016e-21	3.3705510553207715e-19	4.6050992311135521e-21	5.8511109636003153e-21	1.4893118187306456e-08	1.4722665512059908e-08	3.7689078929598055e-09	1.8016325006027022e-08	1.7834347304475913e-08	1.5786595063691717e-08	1.5597267757526638e-08	1
spheroidal_small	spheroidal	1	0.335693359375	168	2022	16	robust	default_amd	1.2378000000000001e-05	0.00013454137500000003	2.8979374999999997e-05	0	0	5.8406999999999998e-05	0.00018908500000000002	2.6953937499999999e-05	0.00029823631250000001	0	0	0	0	3	1	1	80	1229	1698	86653	6786	18177	4.605475048929014e-07	0	4	0	0	1.7281836178799518e-20	1.1069073566938934e-19	1.343090374028363e-20	7.4091556604532243e-21	5.4797602550855781e-09	5.5274031781369108e-09	6.436612522003904e-09	9.5689551411331062e-10	9.0926144917766539e-10	3.0949570414290863e-09	3.1659328675046155e-09	1
spheroidal_small	spheroidal	0	0.30517578125	168	2022	16	default	default_amd	1.2378000000000001e-05	0.00013511412500000002	2.8958124999999998e-05	0	0	5.4891e-05	0.0001520205625	2.8048624999999999e-05	0.00022587237500000003	0	0	0	0	3	1	1	0	1236	1236	71116	5788	16598	0.00024814874096252583	0	2	0	0	8.6202870157424016e-21	9.6846875386748629e-21	8.4424576142511631e-21	5.8511109636003153e-21	1.4733236349136593e-08	1.4722149714492528e-08	3.7689078929598055e-09	1.7844770655695902e-08	1.7833560385064882e-08	1.5616904784923038e-08	1.5616904784923038e-08	1
spheroidal_small	spheroidal	1	0.335693359375	168	2022	16	default	default_amd	1.2378000000000001e-05	0.00013325075000000003	2.8869749999999999e-05	0	0	5.4891e-05	0.00015075143749999998	2.80818125e-05	0.00022558437499999999	0	0	0	0	3	1	1	0	1236	1236	71116	5788	16598	0.00021666399924862123	0	2	0	0	1.7281836178799518e-20	1.3655759703679736e-20	1.4399252083127448e-20	7.4091556604532243e-21	5.520996327148128e-09	5.5251362752046625e-09	6.436612522003904e-09	9.1566254969914366e-10	9.1152391511741781e-10	3.1579736389260752e-09	3.1657379680155459e-09	1
spheroidal_medium	spheroidal	0	1.983642578125	270	3896	16	robust	natural	2.3065e-05	0.00025419943750000002	5.0508874999999998e-05	0	0	0.000100159	0.00029338956250000005	4.9833562499999997e-05	0.00049031468750000001	0	0	0	0	3	5	1	170	2524	2961	208894	12279	30823	9.6203931134275293e-09	0	3	0	0	1.9323449328618578e-21	8.7445543285517711e-19	1.9260354055461556e-21	3.3571559833311688e-21	8.81026394466049e-10	3.4228403329234995e-10	1.379604768786547e-09	8.7706327788403508e-10	1.0516184029290817e-09	8.8759771695174958e-10	3.1420856470680843e-10	1
spheroidal_medium	spheroidal	1	2.01416015625	270	3896	16	robust	natural	2.3065e-05	0.00025282431250000002	5.0418062499999998e-05	0	0	0.000100159	0.00029478737499999999	5.0438687499999998e-05	0.00048977499999999991	0	0	0	0	3	5	1	170	2524	2961	208894	12279	30823	2.7504502024356036e-08	0	3	0	0	9.6721740067490883e-22	5.0361895942051021e-19	5.9354929621078859e-22	1.6596597741555554e-21	2.3182459733876155e-10	1.8475039831860794e-10	1.4823991202571283e-10	2.2856402400027114e-10	1.1721072696222014e-10	2.3813506518352419e-10	5.6148678140255046e-11	1
spheroidal_medium	spheroidal	0	1.983642578125	270	3896	16	default	natural	2.3065e-05	0.00026020350000000004	5.0605875000000008e-05	0	0	9.7263999999999996e-05	0.00025712	4.6338812500000009e-05	0.00048439024999999999	0	0	0	0	3	5	1	0	2548	2548	201302	11468	30823	6.5004458743626219e-05	0	2	0	0	1.9323449328618578e-21	1.2114609548262028e-21	1.4803735621837505e-21	3.3571559833311688e-21	3.4227197235309572e-10	3.4217815451432964e-10	1.379604768786547e-09	1.0507874306791175e-09	1.051949174534025e-09	3.1580509925034504e-10	3.1226009574536917e-10	1
spheroidal_medium	spheroidal	1	2.01416015625	270	3896	16	default	natural	2.3065e-05	0.0002509333125	5.1288687499999991e-05	0	0	9.7263999999999996e-05	0.00025772025	4.5925312499999996e-05	0.0004836863749999999	0	0	0	0	3	5	1	0	2548	2548	201302	11468	30823	4.8479408540366767e-05	0	2	0	0	9.6721740067490883e-22	6.3312277714845084e-22	4.9120752014418484e-22	1.6596597741555554e-21	1.8483933771039073e-10	1.8475795569119649e-10	1.4823991202571283e-10	1.1720539908470233e-10	1.1718455365549986e-10	5.6504993259688893e-11	5.6363691226931131e-11	1
spheroidal_medium	spheroidal	0	1.983642578125	270	3896	16	robust	default_amd	2.3065e-05	0.00025587074999999993	5.0672312499999997e-05	0	0	9.3438999999999998e-05	0.00034298349999999989	5.0266624999999999e-05	0.00049008587499999999	0	0	0	0	3	1	1	113	2372	3724	237902	13683	30359	1.2420259984255017e-05	0	3	0	0	1.9323449328618578e-21	1.8357729689893622e-19	1.5584639554548598e-21	3.3571559833311688e-21	3.419924939605309e-10	3.4211153588253831e-10	1.379604768786547e-09	1.0575908250176542e-09	1.0518893844896587e-09	3.0905956246034732e-10	3.1283465377600425e-10	1
spheroidal_medium	spheroidal	1	2.01416015625	270	3896	16	robust	default_amd	2.3065e-05	0.00025288556250000003	5.0568375e-05	0	0	9.3438999999999998e-05	0.00034183231250000003	4.9774000000000002e-05	0.00048967306250000012	0	0	0	0	3	1	1	113	2372	3732	238318	13699	30359	2.7274590005457495e-05	0	3	0	0	9.6721740067490883e-22	3.8467206305479217e-19	6.6561282511860281e-22	1.6596597741555554e-21	1.8460650658510324e-10	1.8464269730915634e-10	1.4823991202571283e-10	1.1730523990306343e-10	1.1721039045347109e-10	5.5744832978421641e-11	5.5972639262587787e-11	1
